review_id,review_text,topic_text,v2_topic_id,topic_model_label,v2_business_topic,baseline_topic_id,baseline_model_topic,baseline_display_topic,baseline_business_topic,business_topic_changed
R000001,"The latest software update causes crashes and random restarts. I bought it for university classes. After 15 days of use, this is my experience.",The latest software update causes crashes and random restarts,7,Random / Random Restarts / Software Update,Software & Updates,3,Latest Software / Software Update / Random,Software update stability,Software & Updates,False
R000002,"Battery drains overnight even when the tablet is idle. I take it on the train. After 85 days of use, this is my experience.",Battery drains overnight even when the tablet is idle,1,Games / Games Stutter / Stutter,Software & Performance,9,Battery / Commute Evening / Evening,Battery life,Battery Life,True
R000003,"My experience with build quality is mixed. It meets some expectations but could improve. I have owned it for a month. After 45 days of use, this is my experience.",My experience with build quality is mixed,2,Easily / Pairs / Accessory Pairs,Accessories,1,Quality / Build Quality / Build,Build quality,Build Quality,True
R000004,"My experience with price / value is mixed. It meets some expectations but could improve. My main use is streaming at home. After 47 days of use, this is my experience.",My experience with price / value is mixed,0,Price / Value / Tablet Excellent,Price & Value,0,Use / Experience / Days,Mixed everyday experiences,Mixed / contextual,True
R000005,"The metal body feels sturdy and well assembled. I have owned it for a month. After 12 days of use, this is my experience.",The metal body feels sturdy and well assembled,3,Metal / Sturdy / Metal Body,Build Quality,1,Quality / Build Quality / Build,Build quality,Build Quality,False
R000006,"The metal body feels sturdy and well assembled. I use it for work notes. After 86 days of use, this is my experience.",The metal body feels sturdy and well assembled,3,Metal / Sturdy / Metal Body,Build Quality,1,Quality / Build Quality / Build,Build quality,Build Quality,False
R000007,"The included stylus is accurate and the case fits perfectly. This was a gift for my family. After 60 days of use, this is my experience.",The included stylus is accurate and the case fits perfectly,1,Games / Games Stutter / Stutter,Software & Performance,-1,Unassigned / mixed,Unassigned / mixed,Unassigned / mixed,True
R000008,"The screen is crisp and colors look natural. I bought it for university classes. After 70 days of use, this is my experience.",The screen is crisp and colors look natural,5,Colors / Natural / Look Natural,Display,4,Colors / Crisp / Screen Crisp,Screen clarity & color,Display,False
R000009,"Apps open quickly and multitasking feels smooth. I use it for sketching. After 9 days of use, this is my experience.",Apps open quickly and multitasking feels smooth,10,Open / Apps Open / Apps,Software & Performance,6,Apps / Apps Open / Open,App speed & multitasking,Software & Performance,False
R000010,"My experience with customer support is mixed. It meets some expectations but could improve. I take it on the train. After 85 days of use, this is my experience.",My experience with customer support is mixed,11,Customer / Replacement Process / Process Straightforward,Customer Service,0,Use / Experience / Days,Mixed everyday experiences,Mixed / contextual,True
R000011,"The keyboard accessory pairs easily and feels comfortable. I take it on the train. After 73 days of use, this is my experience.",The keyboard accessory pairs easily and feels comfortable,2,Easily / Pairs / Accessory Pairs,Accessories,10,Easily Feels / Keyboard Accessory / Feels Comfortable,Keyboard accessories,Accessories,False
R000012,"Apps open quickly and multitasking feels smooth. I compared it with my previous tablet. After 13 days of use, this is my experience.",Apps open quickly and multitasking feels smooth,10,Open / Apps Open / Apps,Software & Performance,6,Apps / Apps Open / Open,App speed & multitasking,Software & Performance,False
R000013,"The price feels expensive for what you get. I have owned it for a month. After 50 days of use, this is my experience.",The price feels expensive for what you get,0,Price / Value / Tablet Excellent,Price & Value,0,Use / Experience / Days,Mixed everyday experiences,Mixed / contextual,True
R000014,"My experience with accessories is mixed. It meets some expectations but could improve. This was a gift for my family. After 84 days of use, this is my experience.",My experience with accessories is mixed,5,Colors / Natural / Look Natural,Display,10,Easily Feels / Keyboard Accessory / Feels Comfortable,Keyboard accessories,Accessories,True
R000015,"My experience with display is mixed. It meets some expectations but could improve. I bought it for university classes. After 66 days of use, this is my experience.",My experience with display is mixed,5,Colors / Natural / Look Natural,Display,4,Colors / Crisp / Screen Crisp,Screen clarity & color,Display,False
R000016,"The screen is crisp and colors look natural. I use it for sketching. After 22 days of use, this is my experience.",The screen is crisp and colors look natural,5,Colors / Natural / Look Natural,Display,4,Colors / Crisp / Screen Crisp,Screen clarity & color,Display,False
R000017,"Games stutter and the tablet overheats after a short session. I take it on the train. After 9 days of use, this is my experience.",Games stutter and the tablet overheats after a short session,1,Games / Games Stutter / Stutter,Software & Performance,7,Games Stutter / Stutter / Games,Gaming performance,Software & Performance,False
R000018,"My experience with battery life is mixed. It meets some expectations but could improve. I bought it for university classes. After 86 days of use, this is my experience.",My experience with battery life is mixed,12,Battery / Lasts / Lasts Commute,Battery Life,9,Battery / Commute Evening / Evening,Battery life,Battery Life,False
R000019,"For the price this tablet is excellent value. I take it on the train. After 41 days of use, this is my experience.",For the price this tablet is excellent value,0,Price / Value / Tablet Excellent,Price & Value,0,Use / Experience / Days,Mixed everyday experiences,Mixed / contextual,True
R000020,"The screen is crisp and colors look natural. I take it on the train. After 10 days of use, this is my experience.",The screen is crisp and colors look natural,5,Colors / Natural / Look Natural,Display,4,Colors / Crisp / Screen Crisp,Screen clarity & color,Display,False
R000021,"My experience with build quality is mixed. It meets some expectations but could improve. I take it on the train. After 10 days of use, this is my experience.",My experience with build quality is mixed,2,Easily / Pairs / Accessory Pairs,Accessories,1,Quality / Build Quality / Build,Build quality,Build Quality,True
R000022,"Battery drains overnight even when the tablet is idle. I bought it for university classes. After 75 days of use, this is my experience.",Battery drains overnight even when the tablet is idle,1,Games / Games Stutter / Stutter,Software & Performance,9,Battery / Commute Evening / Evening,Battery life,Battery Life,True
